File Type,File size(in KB),Battery percentage,Available RAM (In GB),CPU frequency in MHZ,Total Execution Time(in sec)
0,422,62,1.84,248,0.86
0,435,62,1.89,482,0.59
0,435,62,1.64,248,0.79
0,440,62,1.65,352,0.87
0,440,62,1.81,248,0.85
0,435.23,62,1.88,248,0.86
0,435.23,62,1.53,482,0.86
0,449,63,1.6,586,0.6
0,449,63,1.75,248,1.06
0,454,63,1.87,482,0.79
0,454,63,1.48,248,0.79
0,459,63,1.64,482,0.79
0,459,63,1.94,248,1.45
0,463,60,1.72,586,0.66
0,463,60,1.76,248,0.92
0,470,60,1.8,248,0.79
0,470,61,1.53,586,0.65
0,475,61,1.54,586,0.98
0,475,61,1.77,248,1.12
0,481,61,1.95,482,0.72
0,481,61,1.6,482,0.66
0,486,61,1.55,248,0.73
0,486,62,1.74,248,0.92
0,491,62,1.86,482,0.79
0,491,62,1.51,248,0.85
0,497,62,1.66,482,0.79
0,497,62,1.74,248,0.99
0,504,63,1.84,248,0.73
0,504,63,1.45,248,0.8
0,509,63,1.59,586,0.79
0,509,63,1.66,248,0.92
0,514,64,1.76,586,0.73
0,514,64,1.76,248,0.99
0,518,64,1.82,248,0.79
0,518,64,1.49,248,0.86
0,524,65,1.64,586,0.72
0,524,65,1.69,248,0.92
0,530,65,1.81,482,0.72
0,530,65,1.6,248,1
0,534,66,1.63,586,0.79
0,534,66,1.81,248,0.92
0,539,66,1.78,482,0.66
0,539,66,1.48,248,0.74
0,544,60,1.57,248,0.6
0,544,60,1.85,248,0.73
0,548,60,1.9,352,0.86
0,548,61,1.74,248,0.86
0,552,61,1.67,248,0.8
0,552,61,1.74,144,1.19
0,556,61,1.87,248,0.72
0,556,61,1.51,248,0.79
0,563,62,1.64,352,0.92
0,563,62,1.83,352,0.79
0,569,62,1.94,352,0.73
0,569,62,1.44,248,0.86
0,574,63,1.66,482,0.93
0,574,63,1.8,482,1.12
0,579,57,1.77,248,0.93
0,579,57,1.53,248,0.73
0,589,57,1.71,482,0.53
0,589,57,1.86,352,0.79
0,586,57,1.84,352,0.92
0,586,57,1.48,482,0.93
0,594,58,1.59,482,0.86
0,594,58,1.75,482,0.88
0,600,58,1.83,482,1.11
0,600,58,1.69,352,0.99
0,604,58,1.68,482,0.79
0,604,58,1.8,248,1.05
0,608,58,1.82,248,0.98
0,608,60,1.51,482,0.92
0,614,60,1.65,248,0.79
0,614,61,1.74,248,0.86
0,619,61,1.86,482,0.92
0,619,61,1.52,482,0.72
0,623,62,1.67,586,0.86
0,623,62,1.85,248,0.98
0,630,62,1.9,248,0.93
0,630,63,1.7,482,0.86
0,635,63,1.66,248,0.92
0,635,63,1.8,248,0.85
0,639,64,1.91,482,0.87
0,639,64,1.55,248,0.72
0,645,5,0.74423,350,0.52
0,645,5,0.80508,350,0.53
0,649,5,0.80784,350,0.65
0,649,5,0.76686,350,0.46
0,653,63,1.67,586,0.67
0,653,62,1.63,248,0.72
0,657,62,1.81,248,0.99
0,657,63,1.5,248,0.99
0,661,63,1.67,586,0.92
0,661,60,1.56,586,0.85
0,669,58,1.67,586,0.87
0,669,58,1.73,248,0.79
0,675,58,1.84,482,0.73
0,675,58,1.46,248,0.8
0,679,58,1.6,586,0.66
0,679,58,1.76,248,1.6
0,686,58,1.91,482,0.85
0,686,58,1.45,248,0.86
0,690,58,1.61,482,0.86
0,690,58,1.78,248,0.92
0,694,58,1.8,482,0.93
0,694,58,1.55,482,0.92
0,701,36,1.71,586,0.79
0,701,36,1.76,248,0.72
0,707,36,1.77,248,0.66
0,707,36,1.63,248,0.79
0,714,36,1.62,482,0.6
0,714,36,1.71,248,0.66
0,721,37,1.76,482,0.6
0,721,37,1.44,248,0.66
0,728,38,1.62,586,0.66
0,728,38,1.78,248,0.92
0,734,38,1.84,586,0.78
0,734,38,1.46,248,0.73
0,741,39,1.62,586,0.79
0,741,39,1.71,248,0.86
0,741,39,1.5,248,0.99
0,746,39,1.64,482,0.79
0,750,39,1.57,248,0.92
0,750,39,1.82,248,0.86
0,755,36,1.74,586,0.88
0,755,36,1.6,586,0.79
0,761,36,1.67,482,0.67
0,761,36,1.76,248,0.79
0,767,37,1.8,482,0.79
0,767,37,1.54,248,0.92
0,773,37,1.58,248,0.73
0,773,37,1.56,248,0.73
0,779,37,1.59,482,0.85
0,779,37,1.77,248,0.98
0,786,37,1.84,482,0.73
0,786,37,1.49,352,0.79
0,791,38,1.65,482,0.86
0,791,37,1.77,248,0.99
0,798,37,1.82,248,0.93
0,798,37,1.58,248,0.8
0,809,38,1.66,352,0.79
0,809,37,1.81,248,1.06
0,813,38,1.87,248,0.79
0,813,38,1.53,248,0.8
0,820,38,1.62,248,0.86
0,820,38,1.74,248,0.99
0,826,38,1.85,248,0.93
0,826,38,1.52,352,0.79
0,833,38,1.61,352,0.87
0,833,38,1.77,248,1.12
0,837,38,1.81,352,1.05
0,837,39,1.51,248,0.8
0,841,39,1.56,352,0.98
0,841,39,1.85,248,1.18
0,845,39,1.85,352,0.79
0,845,39,1.59,248,0.98
0,851,39,1.68,248,1.12
0,851,39,1.81,248,0.86
0,885,40,1.88,352,0.8
0,885,40,1.71,248,0.93
0,889,40,1.79,352,0.99
0,889,40,1.41,248,0.86
0,859,40,1.66,352,0.98
0,859,40,1.81,248,0.86
0,866,41,1.83,482,0.79
0,866,41,1.52,248,0.99
0,873,41,1.62,482,0.79
0,873,41,1.87,248,0.99
0,881,42,1.89,586,0.86
0,881,42,1.44,586,0.79
0,889,42,1.61,586,0.86
0,889,42,1.77,248,1.12
0,894,42,1.87,352,0.92
0,894,42,1.57,248,1.11
0,900,42,1.72,482,0.73
0,900,43,1.83,248,1.05
0,911,43,1.87,482,0.8
0,911,43,1.62,248,0.86
0,917,43,1.71,248,0.99
0,917,43,1.74,248,0.99
0,924,43,1.84,352,1.12
0,924,43,1.51,248,0.93
0,932,44,1.67,482,0.99
0,932,44,1.79,248,1.19
0,938,44,1.76,248,1.12
0,938,44,1.59,248,0.79
0,942,44,1.62,586,1.05
0,942,44,1.95,248,1.06
0,950,45,1.96,352,1
0,950,45,1.71,248,0.92
0,955,45,1.74,352,0.99
0,955,45,1.71,248,1.12
0,962,45,1.8,352,1.12
0,962,45,1.61,352,1.05
0,970,45,1.57,352,0.92
0,970,45,1.78,248,1.19
0,981,46,1.83,482,0.93
0,981,46,1.77,248,0.98
0,1017,46,1.75,248,1.06
0,1017,46,1.7,482,0.98
0,994,46,1.84,482,1.06
0,994,46,1.66,248,0.74
0,2007,47,1.76,586,1.12
0,2007,47,1.81,248,1.31
0,1024,47,1.93,482,0.99
0,1024,47,1.57,248,1.13
0,1029,47,1.6,482,1.05
0,1029,47,1.84,248,1.05
0,1033,47,1.87,482,0.85
0,1033,47,1.55,248,1.05
0,1043,47,1.6,482,0.99
0,1043,48,1.68,248,1.19
0,1053,48,1.83,482,0.86
0,1053,48,1.62,248,0.92
0,1054.72,22,1.71,248,0.8
0,1054.73,22,1.84,248,0.92
0,110.08,22,1.88,482,1.05
0,110.08,22,1.58,248,0.99
0,111.1,22,1.67,248,0.99
0,111.1,22,1.77,248,0.99
0,1105.92,23,1.88,482,0.99
0,1105.92,23,1.66,248,0.98
0,1116.16,23,1.59,482,1.05
0,1116.16,23,1.92,248,1.11
