File Type,File size(in KB),Battery percentage,Available RAM (In GB),CPU frequency in MHZ,Total Execution Time(in sec)
1,20.6,47,1.82,586,0.66
1,20.6,48,1.65,248,0.66
1,18.8,47,1.82,248,0.79
1,18.8,48,1.67,248,0.67
1,25.8,47,1.8,482,1.12
1,25.8,48,1.64,586,0.54
1,24.2,47,1.86,586,0.79
1,24.2,48,1.76,482,0.66
1,8.15,47,1.85,352,0.67
1,8.15,48,1.72,482,0.79
1,19,83,1.82,248,1.12
1,19,74,1.58,482,0.6
1,30.2,84,1.85,352,0.6
1,30.2,75,1.61,248,0.66
1,5.87,84,1.82,248,0.67
1,5.87,75,1.58,248,0.66
1,13.7,84,1.76,248,0.6
1,13.7,75,1.6,248,0.59
1,29.2,84,1.74,352,0.6
1,29.2,75,1.68,248,0.59
1,7.08,84,1.78,248,0.59
1,7.08,75,1.67,248,0.53
1,21.8,84,1.72,248,0.59
1,21.8,75,1.63,248,0.46
1,19.8,84,1.89,248,0.53
1,19.8,75,1.63,248,0.53
1,27.2,84,1.79,586,0.6
1,27.2,76,1.61,248,0.46
1,24.6,84,1.79,248,0.67
1,24.6,76,1.64,248,0.53
1,17.4,84,1.81,248,0.66
1,17.4,76,1.58,586,0.53
1,22.7,84,1.79,248,0.59
1,22.7,76,1.63,248,0.6
1,17.3,85,1.81,248,0.72
1,17.3,76,1.61,586,0.6
1,5.99,85,1.8,248,0.65
1,5.99,76,1.6,586,0.6
1,8.01,85,1.85,248,0.66
1,8.01,76,1.61,248,0.6
1,18.7,85,1.85,248,0.66
1,18.7,77,1.67,586,0.6
1,27.4,85,1.82,248,0.92
1,27.4,77,1.67,248,0.59
1,13.46,79,1.86,586,0.59
1,13.46,77,1.64,248,0.6
1,36.7,81,1.88,248,0.99
1,36.7,77,1.63,248,0.67
1,27.85,81,1.9,248,0.66
1,27.85,78,1.64,248,0.6
1,15.24,80,1.91,586,0.6
1,15.24,78,1.7,248,0.59
1,25.97,80,1.87,248,0.53
1,25.97,78,1.62,248,0.47
1,31.65,80,1.91,248,0.66
1,31.65,78,1.62,248,0.6
1,11.88,79,1.91,248,0.67
1,11.88,78,1.6,248,0.6
1,13.1,79,1.89,248,0.65
1,13.1,79,1.64,248,0.59
1,15,75,1.87,248,1.05
1,15,67,1.62,482,0.53
1,33,74,1.87,248,0.66
1,33,67,1.6,482,0.6
1,33.4,74,1.87,248,0.66
1,33.4,67,1.62,482,0.6
1,25.6,74,1.87,248,0.65
1,25.6,67,1.61,482,0.6
1,12.9,74,1.91,248,0.6
1,12.9,67,1.6,248,0.6
1,24.7,73,1.89,248,0.67
1,24.7,67,1.62,482,0.53
1,26.7,73,1.87,248,0.66
1,26.7,67,1.62,482,0.66
1,28.3,73,1.87,248,0.67
1,28.3,68,1.65,248,0.59
1,22.5,73,1.88,248,0.66
1,22.5,68,1.62,248,0.67
1,37.6,73,1.87,248,0.59
1,37.6,68,1.6,248,0.46
1,32.9,73,1.87,248,0.66
1,32.9,68,1.67,586,0.6
1,29.6,73,1.87,248,0.66
1,29.6,68,1.71,586,0.47
1,39.6,72,1.89,248,0.73
1,39.6,68,1.59,248,0.6
1,27.8,72,1.9,248,0.59
1,27.8,69,1.58,248,0.54
1,22.7,72,1.88,248,0.66
1,22.7,69,1.6,352,0.46
1,30.8,72,1.91,248,0.66
1,30.8,69,1.63,482,0.53
1,26.5,72,1.85,248,0.66
1,26.5,69,1.7,482,0.6
1,46.8,72,1.8,248,0.59
1,46.8,69,1.54,248,0.59
1,25.2,71,1.84,248,0.53
1,25.2,69,1.64,248,0.68
1,29.1,71,1.82,248,0.6
1,29.1,69,1.58,248,0.6
1,25.9,71,1.83,248,0.73
1,25.9,70,1.61,248,0.59
1,20.1,71,1.82,248,0.66
1,20.1,70,1.69,248,0.66
1,12.3,71,1.82,248,0.53
1,12.3,70,1.62,586,0.72
1,13.2,71,1.81,248,0.67
1,13.2,70,1.59,248,0.6
1,15.8,71,1.8,248,0.73
1,15.8,70,1.58,248,0.6
1,19.4,68,1.9,248,0.67
1,19.4,66,1.55,248,0.6
1,27.7,68,1.85,248,0.72
1,27.7,66,1.7,586,0.72
1,2.21,68,1.77,248,0.74
1,2.21,66,1.7,248,0.72
1,14.6,69,1.75,248,0.79
1,14.6,66,1.68,248,0.66
1,40.4,69,1.76,248,0.72
1,40.4,66,1.66,248,0.67
1,24.9,69,1.77,248,0.66
1,24.9,67,1.58,248,0.67
1,18.7,69,1.82,248,0.73
1,18.7,67,1.63,248,0.73
1,11.3,69,1.82,248,0.66
1,11.3,67,1.61,248,0.66
1,18.9,69,1.79,248,0.53
1,18.9,67,1.78,248,0.73
1,24.5,69,1.8,248,0.53
1,24.5,67,1.65,248,0.66
1,36.2,69,1.79,248,0.66
1,36.2,67,1.69,248,0.66
1,16.5,69,1.8,248,0.59
1,16.5,68,1.68,248,0.66
1,2.66,69,1.7,248,0.53
1,2.66,68,1.65,352,0.66
1,32.5,69,1.73,248,0.66
1,32.5,68,1.55,248,0.67
1,23.4,70,1.79,248,0.66
1,23.4,68,1.63,248,86
1,7.48,70,1.8,248,0.59
1,7.48,72,1.69,248,0.6
1,18.4,70,1.82,248,0.53
1,18.4,72,1.69,248,0.6
1,23.4,70,1.83,248,0.73
1,23.4,72,1.72,248,0.79
1,12,70,1.82,248,0.67
1,12,72,1.7,248,0.53
1,37.1,70,1.82,248,0.66
1,37.1,72,1.68,248,0.53
1,2.7,70,1.81,248,0.72
1,2.7,72,1.66,248,0.53
1,17.4,70,1.85,248,0.66
1,17.4,71,1.64,248,0.66
1,27.6,70,1.8,248,0.73
1,27.6,71,1.64,248,0.66
1,15,70,1.8,248,0.66
1,15,71,1.64,482,0.54
1,6.01,70,1.75,248,0.66
1,6.01,71,1.63,586,0.66
1,11.3,64,1.93,586,0.99
1,11.3,65,1.65,482,0.67
1,206,64,1.93,248,0.67
1,206,65,1.65,482,0.67
1,79.4,64,1.92,248,0.66
1,79.4,65,1.64,482,0.66
1,773,64,1.96,248,0.53
1,773,65,1.66,352,0.66
1,206,64,1.87,586,0.66
1,206,65,1.67,586,0.79
1,84.2,63,1.87,248,0.6
1,84.2,65,1.64,352,0.67
1,31.6,63,1.86,248,0.6
1,31.6,65,1.61,482,0.72
1,84.2,63,1.88,248,0.65
1,84.2,65,1.53,248,0.66
1,8089.6,63,2.35,586,1.25
1,8089.6,65,2.07,586,1.25
1,50.5,62,1.82,248,0.72
1,50.5,65,1.56,248,0.66
1,23.5,62,1.85,586,0.73
1,23.5,64,1.64,248,0.54
1,20.6,62,1.87,586,0.72
1,20.6,64,1.66,248,0.73
1,197,62,1.9,248,0.66
1,197,64,1.55,586,0.46
1,7.84,62,1.9,248,0.67
1,7.84,64,1.55,248,0.6
1,37.6,62,1.9,586,0.66
1,37.6,64,1.55,482,0.59
1,5038.08,62,1.94,352,0.53
1,5038.08,64,1.68,248,0.6
1,9.99,62,1.9,248,1.05
1,9.99,63,1.61,352,0.6
1,4823.04,62,2.05,586,0.86
1,4823.04,63,1.83,586,0.86
1,4648.96,62,2.04,586,0.86
1,4648.96,63,1.85,586,0.86
1,140,62,1.95,248,0.6
1,140,63,1.7,248,0.66
1,22.4,62,1.92,248,0.6
1,22.4,63,1.62,248,0.47
1,12.6,63,1.82,248,0.66
1,12.6,63,1.52,248,0.59
1,210,62,1.86,248,0.67
1,210,63,1.67,248,0.66
1,580,62,1.79,586,1.18
1,580,63,1.61,248,0.59
1,202,62,1.79,248,0.67
1,202,63,1.69,248,0.59
